ENERG_LO,ENERG_HI,SPECRESP
0.3000000, 0.3100000, 4.874343
0.3100000, 0.3200000, 14.82926
0.3200000, 0.3300000, 21.30229
0.3300000, 0.3400000, 28.51495
0.3400000, 0.3500000, 35.39883
0.3500000, 0.3600000, 41.54232
0.3600000, 0.3700000, 46.88145
0.3700000, 0.3800000, 53.06949
0.3800000, 0.3900000, 61.05444
0.3900000, 0.4000000, 69.30855
0.4000000, 0.4100000, 72.90137
0.4100000, 0.4200000, 79.87247
0.4200000, 0.4300000, 94.29903
0.4300000, 0.4400000, 106.0706
0.4400000, 0.4500000, 116.0293
0.4500000, 0.4600000, 127.8437
0.4600000, 0.4700000, 138.8801
0.4700000, 0.4800000, 150.0978
0.4800000, 0.4900000, 160.8329
0.4900000, 0.5000000, 171.5432
0.5000000, 0.5100000, 183.7123
0.5100000, 0.5200000, 196.1964
0.5200000, 0.5300000, 208.9698
0.5300000, 0.5400000, 171.4215
0.5400000, 0.5500000, 137.7340
0.5500000, 0.5600000, 161.4068
0.5600000, 0.5700000, 173.2176
0.5700000, 0.5800000, 192.7590
0.5800000, 0.5900000, 204.1549
0.5900000, 0.6000000, 214.9084
0.6000000, 0.6100000, 226.1857
0.6100000, 0.6200000, 236.2147
0.6200000, 0.6300000, 247.0838
0.6300000, 0.6400000, 258.5528
0.6400000, 0.6500000, 268.7657
0.6500000, 0.6600000, 279.4300
0.6600000, 0.6700000, 289.7876
0.6700000, 0.6800000, 300.6782
0.6800000, 0.6900000, 310.4438
0.6900000, 0.7000000, 253.8346
0.7000000, 0.7100000, 293.0952
0.7100000, 0.7200000, 306.0932
0.7200000, 0.7300000, 312.0426
0.7300000, 0.7400000, 322.7659
0.7400000, 0.7500000, 334.2620
0.7500000, 0.7600000, 345.7097
0.7600000, 0.7700000, 356.8057
0.7700000, 0.7800000, 367.5352
0.7800000, 0.7900000, 378.3373
0.7900000, 0.8000000, 388.6603
0.8000000, 0.8100000, 398.3632
0.8100000, 0.8200000, 407.5447
0.8200000, 0.8300000, 416.2292
0.8300000, 0.8400000, 424.5197
